From,To,Regular Road Cost ($),Regular Road Time (mins),Highway Cost ($),Highway Time (mins)
Lyon,London,145.20,843,177.18,552
Lyon,Paris,78.63,428,96.83,254
Lyon,Milan,64.16,395,176.97,193
Lyon,Vienna,178.37,951,153.82,653
Lyon,Barcelona,91.71,533,127.07,325
Lyon,Madrid,189.74,1397,195.48,586
Lyon,Berlin,188.01,1003,179.33,642
Lyon,Venice,101.58,793,228.89,377
Lyon,Rome,148.76,1215,281.30,421
Lyon,Munich,105.03,871,104.47,380
Lyon,Zurich,61.18,516,69.00,185
Berlin,London,176.11,1256,251.49,481
Berlin,Paris,169.72,926,160.81,516
Berlin,Milan,167.48,1120,128.07,595
Berlin,Vienna,95.68,682,74.21,294
Berlin,Barcelona,285.26,1557,300.96,950
Berlin,Madrid,348.97,2304,426.80,1234
Berlin,Lyon,185.09,1031,176.24,690
Berlin,Venice,173.08,975,164.00,531
Berlin,Rome,222.10,1305,240.35,800
Berlin,Munich,82.00,452,92.88,282
Berlin,Zurich,130.68,760,136.71,499
Venice,London,230.75,1212,270.96,651
Venice,Paris,180.66,1323,326.23,686
Venice,Milan,38.44,220,53.59,143
Venice,Vienna,90.04,767,82.87,310
Venice,Barcelona,190.01,1335,339.69,751
Venice,Madrid,288.36,1703,408.37,959
Venice,Lyon,103.20,777,229.57,323
Venice,Berlin,177.89,1039,170.86,594
Venice,Rome,76.65,569,104.96,250
Venice,Munich,81.73,634,103.33,274
Venice,Zurich,75.49,413,90.33,274
Rome,London,279.70,1514,335.20,1042
Rome,Paris,222.56,1244,378.36,797
Rome,Milan,82.88,559,113.22,341
Rome,Vienna,189.20,1130,193.00,591
Rome,Barcelona,208.82,1809,286.79,644
Rome,Madrid,306.59,1714,355.59,1109
Rome,Lyon,156.18,944,265.29,462
Rome,Berlin,228.91,1830,242.93,720
Rome,Venice,76.88,512,104.77,309
Rome,Munich,144.18,757,175.52,539
Rome,Zurich,135.41,757,153.59,469
Munich,London,167.25,1052,192.46,524
Munich,Paris,130.23,1040,141.84,417
Munich,Milan,69.32,436,59.98,221
Munich,Vienna,60.91,366,52.57,255
Munich,Barcelona,203.15,1358,227.61,717
Munich,Madrid,298.94,1999,342.10,897
Munich,Lyon,102.75,670,102.55,331
Munich,Berlin,81.89,730,81.32,263
Munich,Venice,71.12,448,91.87,295
Munich,Rome,162.76,1451,174.84,453
Munich,Zurich,43.64,376,58.97,153
Zurich,London,158.48,997,191.30,461
Zurich,Paris,92.19,491,98.34,250
Zurich,Milan,44.11,345,39.14,125
Zurich,Vienna,114.74,896,103.80,367
Zurich,Barcelona,176.58,940,205.46,460
Zurich,Madrid,282.03,2239,322.26,936
Zurich,Lyon,65.80,403,72.76,217
Zurich,Berlin,143.12,1019,145.68,366
Zurich,Venice,84.63,525,146.37,374
Zurich,Rome,147.21,1064,163.27,428
Zurich,Munich,48.20,271,58.30,161
