From,To,Regular Road Cost ($),Regular Road Time (mins),Highway Cost ($),Highway Time (mins)
Barcelona,Amsterdam,201.19,1332,249.54,692
Barcelona,Brussels,175.39,1781,242.63,642
Barcelona,Florence,145.85,1010,218.07,637
Madrid,London,231.92,2355,307.77,846
Madrid,Paris,167.51,1570,229.70,543
Madrid,Milan,218.42,1751,251.86,782
Madrid,Vienna,325.37,2002,356.51,1295
Madrid,Barcelona,76.71,623,90.34,331
Madrid,Lyon,162.88,1306,177.21,555
Madrid,Berlin,325.37,2447,394.32,1077
Madrid,Venice,250.73,1776,299.29,1067
Madrid,Rome,285.88,1814,324.43,831
Madrid,Munich,262.44,1859,313.48,953
Madrid,Zurich,223.35,1448,278.91,953
Madrid,Amsterdam,243.34,1808,299.47,835
Madrid,Brussels,204.74,1386,277.02,819
Madrid,Florence,204.24,1353,275.48,819
Lyon,London,145.20,843,177.18,552
Lyon,Paris,78.63,428,96.83,254
Lyon,Milan,64.16,395,176.97,193
Lyon,Vienna,178.37,951,153.82,653
Lyon,Barcelona,91.71,533,127.07,325
Lyon,Madrid,189.74,1397,195.48,586
Lyon,Berlin,188.01,1003,179.33,642
Lyon,Venice,101.58,793,228.89,377
Lyon,Rome,148.76,1215,281.30,421
Lyon,Munich,105.03,871,104.47,380
Lyon,Zurich,61.18,516,69.00,185
Lyon,Amsterdam,143.59,1014,144.84,449
Lyon,Brussels,102.73,726,134.56,337
Lyon,Florence,105.49,848,227.79,386
Berlin,London,176.11,1256,251.49,481
Berlin,Paris,169.72,926,160.81,516
Berlin,Milan,167.48,1120,128.07,595
Berlin,Vienna,95.68,682,74.21,294
Berlin,Barcelona,285.26,1557,300.96,950
Berlin,Madrid,348.97,2304,426.80,1234
Berlin,Lyon,185.09,1031,176.24,690
Berlin,Venice,173.08,975,164.00,531
Berlin,Rome,222.10,1305,240.35,800
Berlin,Munich,82.00,452,92.88,282
Berlin,Zurich,130.68,760,136.71,499
Berlin,Amsterdam,91.87,692,116.81,324
Berlin,Brussels,105.78,775,109.24,369
Berlin,Florence,185.65,1307,187.66,528
Venice,London,230.75,1212,270.96,651
Venice,Paris,180.66,1323,326.23,686
Venice,Milan,38.44,220,53.59,143
Venice,Vienna,90.04,767,82.87,310
Venice,Barcelona,190.01,1335,339.69,751
Venice,Madrid,288.36,1703,408.37,959
Venice,Lyon,103.20,777,229.57,323
Venice,Berlin,177.89,1039,170.86,594
Venice,Rome,76.65,569,104.96,250
Venice,Munich,81.73,634,103.33,274
Venice,Zurich,75.49,413,90.33,274
Venice,Amsterdam,204.90,1664,192.10,757
Venice,Brussels,178.46,1384,181.57,604
Venice,Florence,38.44,270,77.79,150
Rome,London,279.70,1514,335.20,1042
Rome,Paris,222.56,1244,378.36,797
Rome,Milan,82.88,559,113.22,341
Rome,Vienna,189.20,1130,193.00,591
Rome,Barcelona,208.82,1809,286.79,644
Rome,Madrid,306.59,1714,355.59,1109
Rome,Lyon,156.18,944,265.29,462
Rome,Berlin,228.91,1830,242.93,720
Rome,Venice,76.88,512,104.77,309
Rome,Munich,144.18,757,175.52,539
Rome,Zurich,135.41,757,153.59,469
Rome,Amsterdam,260.65,1632,245.36,736
Rome,Brussels,224.64,1743,245.70,758
Rome,Florence,39.71,211,52.73,137
Munich,London,167.25,1052,192.46,524
Munich,Paris,130.23,1040,141.84,417
Munich,Milan,69.32,436,59.98,221
Munich,Vienna,60.91,366,52.57,255
Munich,Barcelona,203.15,1358,227.61,717
Munich,Madrid,298.94,1999,342.10,897
Munich,Lyon,102.75,670,102.55,331
Munich,Berlin,81.89,730,81.32,263
Munich,Venice,71.12,448,91.87,295
Munich,Rome,162.76,1451,174.84,453
Munich,Zurich,43.64,376,58.97,153
Munich,Amsterdam,126.76,916,138.97,471
Munich,Brussels,107.57,778,92.76,460
Munich,Florence,92.09,808,122.04,381
Zurich,London,158.48,997,191.30,461
Zurich,Paris,92.19,491,98.34,250
Zurich,Milan,44.11,345,39.14,125
Zurich,Vienna,114.74,896,103.80,367
Zurich,Barcelona,176.58,940,205.46,460
Zurich,Madrid,282.03,2239,322.26,936
Zurich,Lyon,65.80,403,72.76,217
Zurich,Berlin,143.12,1019,145.68,366
Zurich,Venice,84.63,525,146.37,374
Zurich,Rome,147.21,1064,163.27,428
Zurich,Munich,48.20,271,58.30,161
Zurich,Amsterdam,139.53,1090,153.89,411
Zurich,Brussels,96.16,561,89.46,343
Zurich,Florence,92.19,525,107.36,283
Amsterdam,London,83.96,460,127.17,278
Amsterdam,Paris,78.35,503,84.34,277
Amsterdam,Milan,179.50,1184,138.72,493
Amsterdam,Vienna,190.58,1311,147.87,638
Amsterdam,Barcelona,251.12,1287,286.96,768
Amsterdam,Madrid,300.95,1526,346.06,850
Amsterdam,Lyon,156.08,800,153.96,521
Amsterdam,Berlin,103.51,817,110.17,373
Amsterdam,Venice,220.61,1610,208.99,601
Amsterdam,Rome,281.64,1995,263.35,963
Amsterdam,Munich,140.63,968,130.57,456
Amsterdam,Zurich,140.14,734,151.38,366
Amsterdam,Brussels,32.76,236,41.03,117
Amsterdam,Florence,228.70,1252,207.15,728
Brussels,London,48.32,288,59.28,177
Brussels,Paris,39.92,241,49.54,148
Brussels,Milan,125.37,930,103.51,465
Brussels,Vienna,153.37,906,204.29,596
Brussels,Barcelona,184.68,1257,249.15,775
Brussels,Madrid,216.00,1344,285.73,867
Brussels,Lyon,92.81,590,126.34,374
Brussels,Berlin,97.99,822,112.87,435
Brussels,Venice,158.45,1079,173.68,571
Brussels,Rome,229.06,1366,229.89,751
Brussels,Munich,95.92,867,85.98,418
Brussels,Zurich,81.30,588,72.61,371
Brussels,Amsterdam,27.38,174,30.84,106
Brussels,Florence,167.88,1012,179.51,542
Florence,London,238.95,1656,282.53,710
Florence,Paris,188.62,1401,324.90,684
Florence,Milan,45.94,271,60.55,181
Florence,Vienna,151.57,1023,140.33,509
Florence,Barcelona,169.11,1332,237.52,576
Florence,Madrid,267.58,1636,306.32,800
Florence,Lyon,106.89,611,228.24,407
Florence,Berlin,191.16,1505,186.14,691
Florence,Venice,51.14,292,52.10,130
Florence,Rome,39.59,239,52.50,127
Florence,Munich,95.00,650,118.72,307
Florence,Zurich,86.00,486,100.92,318
Florence,Amsterdam,211.13,1407,192.69,700
Florence,Brussels,187.00,1409,193.72,683
